1,2122,7520,1138,564,5913,9427
10,45,3314,1648,8739,8866,245
100,461,1108,2987,2073,45,9717
101,4776,6413,10598,3314,7567,6024
102,1156,8739,5907,2122,2054,695
103,8613,1860,245,3739,9427,2826
104,4403,548,4947,5166,316,8159
105,6919,5449,589,1138,1325,6800
106,6749,5199,6238,5705,5913,2607
107,1296,4635,2930,10213,686,6357
108,4253,1690,3668,45,7840,1619
109,8866,342,2073,4414,4738,7520
11,461,4776,2073,4947,6238,1325
110,9717,8033,1648,6706,1676,2586
111,581,10482,333,2987,5352,4398
112,6606,365,461,1718,5526,564
113,1108,8613,4403,2714,111,6800
114,2607,3314,5907,1325,1860,548
115,1296,1156,6238,5449,9427,10598
116,589,7840,2826,5199,2122,6357
117,6413,4947,10213,45,695,342
118,2054,5705,686,7520,8033,8866
119,1690,6024,5913,2073,2987,10482
12,6749,342,2054,6606,6919,5352
120,1676,4635,581,1718,4776,5166
121,3668,2714,6706,8739,564,333
122,111,1138,5352,1648,365,7567
123,245,4738,461,4414,6749,6919
124,8159,6606,2930,1108,4398,4253
125,3739,5526,316,1619,9717,2586
13,10482,9717,1676,4414,3668,589
14,1108,7840,8033,5913,1860,4738
15,695,581,1138,4403,2930,2586
16,316,564,4253,6024,1296,8613
17,6706,6413,3739,8159,7520,1156
18,333,9427,8866,5526,1690,548
19,5449,2826,10213,5907,461,7567
2,5907,1718,6413,10482,8613,8033
20,6238,6357,4635,1648,2987,6919
21,45,4398,4776,6800,2054,2607
22,5166,8739,4414,365,686,1325
23,2714,1619,1718,4947,6749,5352
24,342,111,3314,2122,1676,5705
25,9717,245,5199,2073,10598,6606
26,3739,8033,1690,695,589,4253
27,3668,461,6024,581,7520,5907
28,2930,2987,1860,5526,1648,8613
29,4776,5449,4403,6706,6357,5913
3,589,1156,6706,2930,1619,365
30,365,45,4738,10482,548,2826
31,2586,7567,1325,7840,8159,6749
32,2122,1619,3314,2054,333,5166
33,1718,2073,316,6919,8739,342
34,4414,2607,1108,1138,10213,1156
35,245,564,6238,5352,6413,6800
36,8866,4947,1296,6606,9717,111
37,686,2714,9427,1676,10598,5199
38,4398,6024,548,4635,5705,3739
39,5526,8033,8159,581,2826,45
4,1860,581,3668,4738,316,111
40,2987,589,7520,6749,3314,695
41,7840,3668,2122,2073,2930,5449
42,333,4414,1648,4403,1718,5913
43,2586,5166,1860,8739,6238,10482
44,2607,5352,365,6357,8866,6413
45,1296,1690,1325,2054,1108,1676
46,5705,316,6606,461,10213,2714
47,10598,4738,564,4253,5907,1619
48,5199,1138,4398,245,1156,4947
49,111,6919,8613,686,6706,4776
5,4398,5526,7840,10213,6024,4403
50,9717,6800,9427,7567,4635,342
51,5913,695,4414,3668,2826,5526
52,6024,2930,8866,4403,6238,8033
53,5352,3739,1108,5449,2122,8739
54,581,2073,2054,2714,365,548
55,4738,1648,10482,564,8159,1296
56,1619,5199,461,1138,6413,1860
57,10598,6749,4398,1690,5166,6706
58,9427,1718,2987,111,2607,7840
59,316,333,589,4635,245,686
6,548,1108,6357,10598,2586,695
60,5705,8613,2586,7567,45,1156
61,6800,5907,1676,6357,6606,4947
62,10213,4253,9717,6919,4776,7520
63,342,3739,3668,1325,4403,3314
64,5352,548,8739,1296,4414,5199
65,8033,695,1619,6238,4398,2073
66,2930,10482,2054,9427,111,461
67,6749,686,6413,2826,1648,1108
68,1860,10598,7567,8866,1718,589
69,4738,6606,2122,4635,2586,6024
7,6800,5166,2826,333,5705,1296
70,1138,2987,7840,4776,1676,316
71,4253,1325,5705,245,6706,5526
72,1156,6357,564,342,581,9717
73,2714,5166,5907,6919,5913,45
74,4947,7520,8613,2607,333,5449
75,365,6800,10213,1690,8159,3314
76,548,1296,6749,6413,3668,2930
77,10598,5352,4635,8033,461,8739
78,2826,4403,6606,1619,4776,2987
79,1325,695,10482,1648,8866,5199
8,5199,4253,8159,2987,5449,4635
80,1156,2122,686,1860,4253,1718
81,1676,6919,5526,564,7567,1108
82,5166,111,5449,6024,342,245
83,333,7840,365,5907,6238,3739
84,4738,6706,9717,3314,1138,2714
85,5913,4947,2054,8613,10213,581
86,2586,2607,8159,589,2073,5705
87,6357,4414,45,316,9427,4398
88,7520,2930,8739,1619,6800,1690
89,6413,10482,6919,5526,4403,10598
9,7567,2714,1690,686,3739,2607
90,548,7567,4776,8033,245,2122
91,6024,1676,5449,695,1860,333
92,2826,4635,111,1156,1325,5352
93,3314,2054,564,7840,5199,4947
94,8159,342,1138,8613,5907,686
95,9427,1648,10213,3739,589,5166
96,316,5913,6749,8866,6800,4253
97,6238,2607,581,6706,6606,4414
98,5705,1690,1718,6357,3668,4738
99,7520,2586,365,4398,1296,2714
